stop_code,name,latitude,longitude
STOP_JHARSETHLI_VILLAGE,Jharsethli Village,28.368,77.33
STOP_TRANSPORT_NAGAR_JAJRU_MOD,"Transport Nagar,Jajru Mod",28.356,77.331
STOP_KHANDAWALI_MOD,Khandawali Mod,28.342,77.326
STOP_DPSG_SHAPUR_KHURD_SIKRI,"DPSG,Shapur Khurd, Sikri",28.33,77.315
STOP_BHANKPUR_MOD,Bhankpur Mod,28.319,77.32
STOP_SOFTA_MOD,Softa Mod,28.313,77.305
STOP_PRITHLA_VILLAGE,Prithla Village,28.3,77.315
STOP_DUDHOLA_MOD,Dudhola Mod,28.292,77.298
STOP_NAGLA_BHIKU_MOD,Nagla-Bhiku Mod,28.44305,77.037325
STOP_ACE,ACE,28.445725,77.034125
STOP_SAMUDAYIK_SWASTHYA_KENDRA,Samudayik swasthya kendra,28.442475,77.0335
STOP_VISHWAKARMA_UNIVERSITY_DUDHOLA,"Vishwakarma University, Dudhola",28.393025,77.309775
STOP_DHATIR_VILLAGE,Dhatir Village,28.285,77.286
STOP_KAURALI_MOD_TIGAON,"Kaurali Mod, Tigaon",28.3861,77.302075
STOP_BADRAULA_VILLAGE,Badraula Village,28.4603,77.034875
STOP_PREHLADPUR_MANJRA_BADRAULA,"Prehladpur Manjra, Badraula",28.448075,77.02855
STOP_KAURALI_VILLAGE,Kaurali village,28.4521,77.0524
STOP_SAMUDAIK_KENDRA_KAURALI,"Samudaik Kendra, Kaurali",28.45735,77.04025
STOP_C_B_S_COLLEGE_OF_PHARMACY_AND_TECHNOLOGY_IMAMUDDINPUR,"C.B.S College of pharmacy and Technology, Imamuddinpur",28.445475,77.0508
STOP_SANJOE_PURAM_ST_LUKE_SCHOOL,Sanjoe Puram /St. Luke School,28.463475,77.044875
STOP_CHANDPUR_VILLAGE,Chandpur Village,28.45355,77.0422
STOP_SHAJHANPUR_VILLAGE,Shajhanpur Village,28.446725,77.0439
STOP_FAIZUPUR_KHADAR,Faizupur Khadar,28.438925,77.0332
